time,edge,density,speed,waiting,mode,congestion
5,N2_N3,0,13.9,0.0,0,0
5,N2_N5,0,13.9,0.0,0,0
5,N3_N2,0,13.9,0.0,0,0
5,N3_N6,2,8.837199524914226,0.0,0,0
5,N4_N1,0,13.9,0.0,0,0
5,N4_N5,0,13.9,0.0,0,0
5,N4_N7,0,13.9,0.0,0,0
5,N5_N2,0,13.9,0.0,0,0
5,N5_N4,0,13.9,0.0,0,0
5,N5_N6,0,13.9,0.0,0,0
5,N5_N8,0,13.9,0.0,0,0
5,N6_N3,0,13.9,0.0,0,0
5,N6_N5,0,13.9,0.0,0,0
5,N6_N9,0,13.9,0.0,0,0
5,N7_N4,0,13.9,0.0,0,0
5,N7_N8,0,13.9,0.0,0,0
5,N8_N5,0,13.9,0.0,0,0
5,N8_N7,0,13.9,0.0,0,0
5,N8_N9,0,13.9,0.0,0,0
5,N9_N6,0,13.9,0.0,0,0
5,N9_N8,0,13.9,0.0,0,0
6,N1_N2,2,8.6279235569702,0.0,0,0
6,N1_N4,3,8.43664456464312,0.0,0,0
6,N2_N1,0,13.9,0.0,0,0
6,N2_N3,0,13.9,0.0,0,0
6,N2_N5,0,13.9,0.0,0,0
6,N3_N2,0,13.9,0.0,0,0
6,N3_N6,3,7.59515170349041,0.0,0,0
6,N4_N1,0,13.9,0.0,0,0
6,N4_N5,0,13.9,0.0,0,0
6,N4_N7,0,13.9,0.0,0,0
6,N5_N2,0,13.9,0.0,0,0
6,N5_N4,0,13.9,0.0,0,0
6,N5_N6,0,13.9,0.0,0,0
6,N5_N8,0,13.9,0.0,0,0
6,N6_N3,0,13.9,0.0,0,0
6,N6_N5,0,13.9,0.0,0,0
6,N6_N9,0,13.9,0.0,0,0
6,N7_N4,0,13.9,0.0,0,0
6,N7_N8,0,13.9,0.0,0,0
6,N8_N5,0,13.9,0.0,0,0
6,N8_N7,0,13.9,0.0,0,0
6,N8_N9,0,13.9,0.0,0,0
6,N9_N6,0,13.9,0.0,0,0
6,N9_N8,0,13.9,0.0,0,0
7,N1_N2,2,9.644132677826565,0.0,0,0
7,N1_N4,3,9.232505756713998,0.0,0,0
7,N2_N1,0,13.9,0.0,0,0
7,N2_N3,0,13.9,0.0,0,0
7,N2_N5,0,13.9,0.0,0,0
7,N3_N2,0,13.9,0.0,0,0
7,N3_N6,3,8.91180187966858,0.0,0,0
7,N4_N1,0,13.9,0.0,0,0
7,N4_N5,0,13.9,0.0,0,0
7,N4_N7,0,13.9,0.0,0,0
7,N5_N2,0,13.9,0.0,0,0
7,N5_N4,0,13.9,0.0,0,0
7,N5_N6,0,13.9,0.0,0,0
7,N5_N8,0,13.9,0.0,0,0
7,N6_N3,0,13.9,0.0,0,0
7,N6_N5,0,13.9,0.0,0,0
